EQUIPO_ID,NIVEL_I,NIVEL_II,NIVEL_III
C-001,EQUIPOS DE CARGUIO,EXCAVADORAS,EXCAVADORA FRONTAL
C-002,EQUIPOS DE CARGUIO,EXCAVADORAS,EXCAVADORA FRONTAL
C-003,EQUIPOS DE CARGUIO,CARGADORES FRONTALES,CARGADOR 994
V-001,EQUIPOS DE ACARREO,CAMIONES DE ACARREO,CAMION 793F
V-002,EQUIPOS DE ACARREO,CAMIONES DE ACARREO,CAMION 793F
V-003,EQUIPOS DE ACARREO,CAMIONES DE ACARREO,CAMION 795F
V-004,EQUIPOS DE ACARREO,CAMIONES DE ACARREO,CAMION 795F
RE-001,EQUIPOS DE CARGUIO,RETROEXCAVADORAS,RETROEXCAVADORA 390
RE-002,EQUIPOS DE CARGUIO,RETROEXCAVADORAS,RETROEXCAVADORA 390
P-001,EQUIPOS DE PERFORACION,PERFORADORAS ROTATIVAS,PERFORADORA DML
P-002,EQUIPOS DE PERFORACION,PERFORADORAS ROTATIVAS,PERFORADORA DML
P-003,EQUIPOS DE PERFORACION,PERFORADORAS ROTATIVAS,PERFORADORA PV-271
AUX-001,EQUIPOS AUXILIARES,MOTONIVELADORAS,MOTONIVELADORA 16M
AUX-002,EQUIPOS AUXILIARES,TRACTORES,TRACTOR D10T
